	proteinID	n_peptides	protein_log2_fc_position_aware	protein_se	protein_z	protein_pval	position_intercept	position_intercept_se	position_slope	position_slope_se	position_pval	mean_relative_position	median_relative_position	n_term_fc	c_term_fc	delta_c_minus_n	model_type	protein_fdr	position_fdr	direction	position_trend	abs_log2_fc
22	D4A4B4	19	-1.5086345422749852	0.13336038148871326	-11.312464207390303	1.1384649682992998e-29	-0.23454613027982482	0.35646659833738115	-3.2828427312003567	0.8172314123070046	5.893633658849166e-05	0.3967940154955918	0.3913705583756345	-1.09563552634305	-3.347005052260875	-2.2513695259178252	weighted_position_regression	4.138072667383541e-28	0.0005186397619787266	Higher in DMSO	Stronger toward N-terminus	1.5086345422749852
23	A0A0G2K9X3	33	-1.1034890029512114	0.09924882395018637	-11.118408853943293	1.0207619796367838e-28	-0.809899474405506	0.28777506466669994	-0.5558450484764416	0.48701314383342315	0.2537306262444361	0.5183369189973482	0.558062740781508	-0.8248811918149187	-1.13396256273407	-0.3090813709191512	weighted_position_regression	3.55565422906813e-27	0.4610546821265995	Higher in DMSO	Stronger toward N-terminus	1.1034890029512114
24	A0A8I6GLG1	8	2.14360951187103	0.1934632614053287	11.080189056566722	1.5654166672447471e-28	1.358051677961715	0.8636066318111625	3.0192050984377494	3.146988383511874	0.3373597644870391	0.24689885496183206	0.2504770992366412	2.0151194268155987			weighted_position_regression	5.2347533352664345e-27	0.554091872517023	Higher in OPP	Stronger toward C-terminus	2.14360951187103
25	A0A8I5ZV30	5	2.6094728925441126	0.23850873935752884	10.940785228974216	7.356001361414308e-28	5.822437504606735	1.0458418552579605	-4.977390158463809	1.560338864225373	0.0014230145024148298	0.6419642857142858	0.6495535714285714		1.9306913296143466		weighted_position_regression	2.3652373608239854e-26	0.008261389750130538	Higher in OPP	Stronger toward N-terminus	2.6094728925441126
26	Q05962	18	1.4333216251403023	0.1324567098947072	10.821057130889644	2.736031475791869e-27	1.4780730200659506	0.47273692250085547	-0.08467215620322134	0.7667602590816402	0.9120695816745067	0.518083519761372	0.5050335570469798	1.6806018571230936	1.2629796781153362	-0.41762217900775744	weighted_position_regression	8.471564125044453e-26	0.9518233780643991	Higher in OPP	Stronger toward N-terminus	1.4333216251403023
27	F1LNF1	8	2.2361088933100444	0.20911498611685933	10.693202504675796	1.0952261207344068e-26	5.013003939598128	0.888119558415654	-7.284770869587305	2.1468303058986895	0.0006906399872041706	0.40757790368271957	0.45538243626062325	3.3041293984852285			weighted_position_regression	3.270032274764157e-25	0.004546260073249501	Higher in OPP	Stronger toward N-terminus	2.2361088933100444
28	Q9WU82	15	1.4859936813180705	0.14174141458675305	10.483835551172419	1.0250048773470985e-25	1.9384204193789578	0.4048013417046837	-1.200067817885355	0.9402832692075305	0.20185539736753721	0.3958173282116944	0.3649167733674776	1.832303021967217	1.7034433748275128	-0.1288596471397041	weighted_position_regression	2.954841646421291e-24	0.39893879952544004	Higher in OPP	Stronger toward N-terminus	1.4859936813180705
29	A0A8I6GGJ4	13	1.6134684064316178	0.15746162348682208	10.246740575278322	1.2240164175630152e-24	2.8799172768492496	0.31232162578914324	-2.327900358580998	0.49073086663248994	2.0980658958460787e-06	0.5196998123827392	0.4557124518613607	2.5768508512932735	0.8357404988640841	-1.7411103524291893	weighted_position_regression	3.410925750275602e-23	2.5420044767062633e-05	Higher in OPP	Stronger toward N-terminus	1.6134684064316178
30	D3ZPC4	9	1.9362449535115052	0.18970752851131253	10.20647397974005	1.854831328112125e-24	2.953900134674884	0.39829872404666045	-4.668907508429173	1.4221664475751779	0.0010272530345286168	0.2490482514386897	0.17689243027888446	2.4062513143937303			weighted_position_regression	5.00206125903786e-23	0.006283535247278173	Higher in OPP	Stronger toward N-terminus	1.9362449535115052
31	A0A8I5ZR52	24	1.138415658684963	0.11318972889239363	10.0575879969394	8.505667589548007e-24	1.2910783315374044	0.30706410854272914	-0.3784916998554739	0.6545862172843514	0.5631188385829428	0.4226990049751243	0.32611940298507464	1.3204465240995222	1.0355984003510765	-0.2848481237484457	weighted_position_regression	2.1547691226854954e-22	0.7566034733515209	Higher in OPP	Stronger toward N-terminus	1.138415658684963
32	P97536	34	-0.9699453204784184	0.09642286317271438	-10.059287689280028	8.360102363675058e-24	-0.5660276605147598	0.19748181292244982	-0.7832618761410467	0.33276338592601407	0.018582092772167137	0.5158656145384983	0.5323170731707317	-0.6821054084959979	-1.148168455904369	-0.4660630474083711	weighted_position_regression	2.1547691226854954e-22	0.06843449144287105	Higher in DMSO	Stronger toward N-terminus	0.9699453204784184
33	A0A8I6ACZ0	13	1.5873679182466063	0.15804892820171887	10.043522194725917	9.810712611336518e-24	2.3278955164732493	0.4310808935374248	-1.6249967704831094	0.8244533906161928	0.048723995465698104	0.49987410298375934	0.41407528641571195	1.664936417311383	0.8094431722045132	-0.8554932451068697	weighted_position_regression	2.412281100905097e-22	0.14599734842051476	Higher in OPP	Stronger toward N-terminus	1.5873679182466063
34	P62982	6	2.1483561242792266	0.2170031883125825	9.900113177989923	4.158042209001979e-23	3.678007670932193	0.8608297501998563	-3.9053007119612735	1.9200512260468854	0.04195597940989408	0.39476495726495725	0.3685897435897436	2.3492210748645452	-0.43562133506291545	-2.7848424099274607	weighted_position_regression	9.931780819216155e-22	0.12942877781059575	Higher in OPP	Stronger toward N-terminus	2.1483561242792266
35	A0A8I6A7H7	10	-1.7005714728963708	0.1742300970903403	-9.760492023456804	1.663462029680227e-22	-0.8395139356766947	0.576266678396069	-1.7923571678487307	0.9997224907058012	0.07299616008480878	0.48354231974921624	0.4793625914315569	-1.00219480202239	-2.4119391362563722	-1.4097443342339822	weighted_position_regression	3.862928491146304e-21	0.19942741774803965	Higher in DMSO	Stronger toward N-terminus	1.7005714728963708
36	Q6AYI1	7	1.937843847711993	0.19957557586852762	9.709824658046166	2.738077281653962e-22	3.632463365768639	0.5325017509037664	-2.8874648687908886	0.8754710080172369	0.0009731218614284342	0.5924506387921022	0.6626016260162602	2.358389332528514	1.7431267201487843	-0.6152626123797296	weighted_position_regression	6.186574614764087e-21	0.006026147230771637	Higher in OPP	Stronger toward N-terminus	1.937843847711993
